userId,recommended_movies
1,"[Come and See (Idi i smotri) (1985), Andalusian Dog, An (Chien andalou, Un) (1929), Saving Face (2004), Jetée, La (1962), My Sassy Girl (Yeopgijeogin geunyeo) (2001), Cosmos, Mary and Max (2009), Enter the Void (2009), De platte jungle (1978), Blue Planet II (2017)]"
2,"[The Jinx: The Life and Deaths of Robert Durst (2015), Isle of Dogs (2018), Come and See (Idi i smotri) (1985), Jetée, La (1962), Frank (2014), Sausage Party (2016), Andalusian Dog, An (Chien andalou, Un) (1929), Shooting Fish (1997), Saving Face (2004), Strictly Sexual (2008)]"
3,"[Joy Ride (2001), Phantasm II (1988), Room, The (2003), Fist of Legend (Jing wu ying xiong) (1994), Troll 2 (1990), Alien Contamination (1980), Galaxy of Terror (Quest) (1981), Hangar 18 (1980), Android (1982), Land of the Dead (2005)]"
4,"[Fury (1936), Wages of Fear, The (Salaire de la peur, Le) (1953), Holiday (1938), All About Eve (1950), Producers, The (1968), The Artist (2011), I'm the One That I Want (2000), Mrs. Miniver (1942), L.I.E. (2001), Wolfman, The (2010)]"
5,"[Rivers and Tides (2001), Fury (1936), Holy Mountain, The (Montaña sagrada, La) (1973), Wages of Fear, The (Salaire de la peur, Le) (1953), Best of Youth, The (La meglio gioventù) (2003), Great Escape, The (1963), On the Beach (1959), Lady Jane (1986), Crossing Delancey (1988), Wallace & Gromit: The Best of Aardman Animation (1996)]"
6,"[Stranger Than Paradise (1984), Dangerous Beauty (1998), My Wife is an Actress (Ma Femme est une Actrice) (2001), Idiocracy (2006), Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987), Anne of Green Gables (1985), Saving Face (2004), Shine (1996), Strictly Sexual (2008), Babes in Toyland (1934)]"
7,"[Senna (2010), Twin Dragons (Shuang long hui) (1992), Sullivan's Travels (1941), Assassination of Jesse James by the Coward Robert Ford, The (2007), Three Colors: Red (Trois couleurs: Rouge) (1994), My Wife is an Actress (Ma Femme est une Actrice) (2001), Seve (2014), The Big Bus (1976), Stranger Than Paradise (1984), Yojimbo (1961)]"
8,"[Cosmos, Best of Youth, The (La meglio gioventù) (2003), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978), Zeitgeist: Moving Forward (2011), Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992)]"
9,"[Capturing the Friedmans (2003), The Artist (2011), Belle époque (1992), Adam's Rib (1949), Saving Face (2004), Beautiful Thing (1996), Rivers and Tides (2001), Gallipoli (1981), Monty Python and the Holy Grail (1975), Eva (2011)]"
10,"[Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962), Bourne Identity, The (1988), Melancholia (2011), Dune (2000), I Origins (2014), Adam's Rib (1949), Magnum Force (1973), Education, An (2009), Babes in Toyland (1934), Fiddler on the Roof (1971)]"
11,"[Imposter, The (2012), On the Beach (1959), Black Cat, White Cat (Crna macka, beli macor) (1998), Three Billboards Outside Ebbing, Missouri (2017), Beautiful Thing (1996), Half Nelson (2006), General, The (1926), Top Hat (1935), Chariots of Fire (1981), Strictly Sexual (2008)]"
12,"[Strictly Sexual (2008), Thief (1981), Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962), Glory Road (2006), Very Potter Sequel, A (2010), 12 Angry Men (1997), Mr. Skeffington (1944), Babes in Toyland (1934), Lincoln (2012), Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987)]"
13,"[On the Beach (1959), Dune (2000), Frozen River (2008), Visitor, The (2007), Saving Face (2004), Cosmos, Emma (2009), Adam's Rib (1949), Battlestar Galactica (2003), Children of Dune (2003)]"
